                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    149,                0.78185,                0.55226,                0.80221,                      0,                      0,                      0,                      0,                      0,                 293.12,                      0,              0.0005149,              0.0005149,              0.0005149
                    150,                0.83812,                0.56774,                 0.7984,                      0,                      0,                      0,                      0,                      0,                 306.88,                      0,              0.0005116,              0.0005116,              0.0005116
                    151,                0.83226,                 0.5667,                0.80143,                      0,                      0,                      0,                      0,                      0,                 303.69,                      0,              0.0005083,              0.0005083,              0.0005083
                    152,                  0.792,                0.56108,                0.80585,                      0,                      0,                      0,                      0,                      0,                 275.25,                      0,               0.000505,               0.000505,               0.000505
                    153,                0.78438,                0.53837,                0.79977,                      0,                      0,                      0,                      0,                      0,                 255.31,                      0,              0.0005017,              0.0005017,              0.0005017
                    154,                0.77553,                0.53676,                0.80352,                      0,                      0,                      0,                      0,                      0,                 253.38,                      0,              0.0004984,              0.0004984,              0.0004984
                    155,                0.82169,                0.57312,                0.80459,                      0,                      0,                      0,                      0,                      0,                 302.56,                      0,              0.0004951,              0.0004951,              0.0004951
                    156,                0.79894,                0.53975,                0.80817,                      0,                      0,                      0,                      0,                      0,                    339,                      0,              0.0004918,              0.0004918,              0.0004918
                    157,                0.79767,                 0.5188,                0.81553,                      0,                      0,                      0,                      0,                      0,                 359.06,                      0,              0.0004885,              0.0004885,              0.0004885
                    158,                0.81383,                0.55504,                0.80489,                      0,                      0,                      0,                      0,                      0,                 291.19,                      0,              0.0004852,              0.0004852,              0.0004852
                    159,                0.82347,                0.55227,                0.79767,                      0,                      0,                      0,                      0,                      0,                    254,                      0,              0.0004819,              0.0004819,              0.0004819
                    160,                0.76398,                0.53827,                0.79883,                      0,                      0,                      0,                      0,                      0,                 261.59,                      0,              0.0004786,              0.0004786,              0.0004786
                    161,                0.81172,                 0.5583,                0.79506,                      0,                      0,                      0,                      0,                      0,                 280.88,                      0,              0.0004753,              0.0004753,              0.0004753
                    162,                0.76256,                0.50615,                0.81261,                      0,                      0,                      0,                      0,                      0,                 285.62,                      0,               0.000472,               0.000472,               0.000472
                    163,                0.77254,                0.52152,                0.79755,                      0,                      0,                      0,                      0,                      0,                 288.62,                      0,              0.0004687,              0.0004687,              0.0004687
                    164,                0.77811,                 0.5376,                0.79688,                      0,                      0,                      0,                      0,                      0,                 281.78,                      0,              0.0004654,              0.0004654,              0.0004654
